,Buckeye,Freq,Log Freq,Fischer,Freq,Log Freq,Google ,Freq,Log Freq,Switchboard,Freq,Log Freq
instill,1,3.54E-06,-12.55169928,74,3.52E-06,-12.55720266,428431,4.18E-07,-14.68773925,7,4.78E-06,-12.25078444
instilled,1,3.54E-06,-12.55169928,36,1.71E-06,-13.27774882,252269,2.46E-07,-15.21737297,2,1.37E-06,-13.5035474
instinct,3,1.06E-05,-11.45308699,107,5.09E-06,-12.18843892,1267163,1.24E-06,-13.60333313,4,2.73E-06,-12.81040022
instincts,2,7.08E-06,-11.8585521,37,1.76E-06,-13.25034984,912004,8.90E-07,-13.93222457,5,3.42E-06,-12.58725667
institutional,2,7.08E-06,-11.8585521,11,5.23E-07,-14.46337248,8634515,8.42E-06,-11.68434613,6,4.10E-06,-12.40493512
institutionalized,2,7.08E-06,-11.8585521,9,4.28E-07,-14.66404318,545380,5.32E-07,-14.44638615,1,6.83E-07,-14.19669459
instruction,2,7.08E-06,-11.8585521,40,1.90E-06,-13.1723883,15782280,1.54E-05,-11.08122588,4,2.73E-06,-12.81040022
instructions,2,7.08E-06,-11.8585521,98,4.66E-06,-12.27630028,34866019,3.40E-05,-10.28860098,5,3.42E-06,-12.58725667
instructor,1,3.54E-06,-12.55169928,127,6.04E-06,-12.01708067,8763270,8.55E-06,-11.66954455,21,1.43E-05,-11.15217215
instructors,1,3.54E-06,-12.55169928,39,1.85E-06,-13.19770611,3617126,3.53E-06,-12.55443388,6,4.10E-06,-12.40493512
instrument,4,1.42E-05,-11.16540492,82,3.90E-06,-12.45454851,13401907,1.31E-05,-11.24471666,20,1.37E-05,-11.20096231
instrumentalists,1,3.54E-06,-12.55169928,,,,124603,1.22E-07,-15.92273627,2,1.37E-06,-13.5035474
instruments,2,7.08E-06,-11.8585521,63,3.00E-06,-12.71813303,14594560,1.42E-05,-11.15946481,54,3.69E-05,-10.20771054
insulation,1,3.54E-06,-12.55169928,7,3.33E-07,-14.91535761,3012783,2.94E-06,-12.73724943,6,4.10E-06,-12.40493512
insult,2,7.08E-06,-11.8585521,77,3.66E-06,-12.51746234,1741623,1.70E-06,-13.28529623,1,6.83E-07,-14.19669459
insulted,1,3.54E-06,-12.55169928,35,1.66E-06,-13.3059197,510290,4.98E-07,-14.51288976,2,1.37E-06,-13.5035474
insurance,17,6.02E-05,-9.718485937,1099,5.23E-05,-9.859111802,84932222,8.29E-05,-9.398260121,278,0.000189889,-8.569073472
intangible,2,7.08E-06,-11.8585521,10,4.76E-07,-14.55868266,1278475,1.25E-06,-13.59444571,3,2.05E-06,-13.0980823
intangibles,1,3.54E-06,-12.55169928,2,9.51E-08,-16.16812058,331007,3.23E-07,-14.94572943,,,
integral,1,3.54E-06,-12.55169928,16,7.61E-07,-14.08867903,7219816,7.04E-06,-11.8632842,1,6.83E-07,-14.19669459
integrate,1,3.54E-06,-12.55169928,29,1.38E-06,-13.49397193,6576826,6.42E-06,-11.95656141,2,1.37E-06,-13.5035474
integrated,2,7.08E-06,-11.8585521,32,1.52E-06,-13.39553185,23081907,2.25E-05,-10.70106461,3,2.05E-06,-13.0980823
integrity,2,7.08E-06,-11.8585521,114,5.42E-06,-12.12506931,9718513,9.48E-06,-11.56608105,3,2.05E-06,-13.0980823
intellect,2,7.08E-06,-11.8585521,16,7.61E-07,-14.08867903,1332404,1.30E-06,-13.55312884,1,6.83E-07,-14.19669459
intellectual,1,3.54E-06,-12.55169928,94,4.47E-06,-12.31797297,11767002,1.15E-05,-11.3748145,8,5.46E-06,-12.11725304
intelligence,3,1.06E-05,-11.45308699,398,1.89E-05,-10.87481575,15072332,1.47E-05,-11.12725293,10,6.83E-06,-11.89410949
intelligent,4,1.42E-05,-11.16540492,370,1.76E-05,-10.94776475,8003950,7.81E-06,-11.7601785,24,1.64E-05,-11.01864076
intend,2,7.08E-06,-11.8585521,58,2.76E-06,-12.80082475,5932870,5.79E-06,-12.0596056,10,6.83E-06,-11.89410949
intended,2,7.08E-06,-11.8585521,93,4.42E-06,-12.32866826,33029525,3.22E-05,-10.34271181,7,4.78E-06,-12.25078444
intense,3,1.06E-05,-11.45308699,252,1.20E-05,-11.33183867,7108842,6.94E-06,-11.87877431,10,6.83E-06,-11.89410949
intensely,1,3.54E-06,-12.55169928,12,5.71E-07,-14.37636111,1084765,1.06E-06,-13.7587503,,,
intensive,2,7.08E-06,-11.8585521,70,3.33E-06,-12.61277251,7176954,7.00E-06,-11.86923861,4,2.73E-06,-12.81040022
intent,2,7.08E-06,-11.8585521,81,3.85E-06,-12.4668186,9619524,9.39E-06,-11.57631889,9,6.15E-06,-11.99947001
intentional,3,1.06E-05,-11.45308699,24,1.14E-06,-13.68321393,1836545,1.79E-06,-13.23222758,,,
intentions,1,3.54E-06,-12.55169928,99,4.71E-06,-12.26614791,3286370,3.21E-06,-12.65033006,6,4.10E-06,-12.40493512
inter,4,1.42E-05,-11.16540492,31,1.47E-06,-13.42728055,8503251,8.30E-06,-11.69966511,,,
interact,6,2.12E-05,-10.75993981,334,1.59E-05,-11.05012676,5804237,5.66E-06,-12.0815255,11,7.51E-06,-11.79879931
interaction,3,1.06E-05,-11.45308699,219,1.04E-05,-11.47219603,15323441,1.50E-05,-11.11072992,7,4.78E-06,-12.25078444
interactive,2,7.08E-06,-11.8585521,117,5.56E-06,-12.09909382,14867971,1.45E-05,-11.14090437,3,2.05E-06,-13.0980823
intercharacter,1,3.54E-06,-12.55169928,,,,2775,2.71E-09,-19.7272182,,,
intercom,1,3.54E-06,-12.55169928,7,3.33E-07,-14.91535761,443404,4.33E-07,-14.65338763,,,
interconnected,2,7.08E-06,-11.8585521,5,2.38E-07,-15.25182984,966080,9.43E-07,-13.8746223,,,
interest,10,3.54E-05,-10.24911419,1341,6.38E-05,-9.660096874,92200043,9.00E-05,-9.316153074,197,0.000134561,-8.913490857
interested,38,0.000134478,-8.914113121,2119,0.00010078,-9.202568199,45863703,4.47E-05,-10.01443965,220,0.000150271,-8.803067039
interesting,83,0.000293727,-8.132858673,10772,0.000512319,-7.576562303,40568374,3.96E-05,-10.13712487,814,0.000556004,-7.494734219
interests,5,1.77E-05,-10.94226137,714,3.40E-05,-10.29038479,28253268,2.76E-05,-10.49890454,35,2.39E-05,-10.64134652
interface,1,3.54E-06,-12.55169928,14,6.66E-07,-14.22221043,41688206,4.07E-05,-10.10989541,4,2.73E-06,-12.81040022
interfered,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,443578,4.33E-07,-14.65299529,,,
interference,1,3.54E-06,-12.55169928,32,1.52E-06,-13.39553185,5306348,5.18E-06,-12.17120983,2,1.37E-06,-13.5035474
interior,5,1.77E-05,-10.94226137,47,2.24E-06,-13.01112016,11742824,1.15E-05,-11.37687134,18,1.23E-05,-11.30632283
intern,3,1.06E-05,-11.45308699,41,1.95E-06,-13.14769569,1433560,1.40E-06,-13.47995281,2,1.37E-06,-13.5035474
internal,2,7.08E-06,-11.8585521,102,4.85E-06,-12.23629494,32542387,3.18E-05,-10.35757022,18,1.23E-05,-11.30632283
internally,2,7.08E-06,-11.8585521,26,1.24E-06,-13.60317122,3211416,3.13E-06,-12.67340171,4,2.73E-06,-12.81040022
international,4,1.42E-05,-11.16540492,652,3.10E-05,-10.38122319,78216991,7.63E-05,-9.480626771,34,2.32E-05,-10.67033406
internet,27,9.55E-05,-9.255862415,4514,0.000214687,-8.446328799,57397015,5.60E-05,-9.790121373,1,6.83E-07,-14.19669459
interpretation,2,7.08E-06,-11.8585521,52,2.47E-06,-12.91002404,12436433,1.21E-05,-11.31948336,3,2.05E-06,-13.0980823
interpreted,1,3.54E-06,-12.55169928,14,6.66E-07,-14.22221043,5397078,5.27E-06,-12.15425598,1,6.83E-07,-14.19669459
interrupt,1,3.54E-06,-12.55169928,115,5.47E-06,-12.11633563,3034708,2.96E-06,-12.72999846,4,2.73E-06,-12.81040022
interrupted,2,7.08E-06,-11.8585521,53,2.52E-06,-12.89097584,2273027,2.22E-06,-13.01900125,6,4.10E-06,-12.40493512
intervene,2,7.08E-06,-11.8585521,36,1.71E-06,-13.27774882,1559453,1.52E-06,-13.39577855,2,1.37E-06,-13.5035474
interview,7,2.48E-05,-10.60578913,293,1.39E-05,-11.18109515,20046905,1.96E-05,-10.84203889,17,1.16E-05,-11.36348124
interviewed,6,2.12E-05,-10.75993981,68,3.23E-06,-12.64176005,4235957,4.13E-06,-12.39650439,7,4.78E-06,-12.25078444
interviewers,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,402513,3.93E-07,-14.75014156,,,
interviewing,4,1.42E-05,-11.16540492,78,3.71E-06,-12.50455893,1690968,1.65E-06,-13.31481253,8,5.46E-06,-12.11725304
interviews,5,1.77E-05,-10.94226137,132,6.28E-06,-11.97846583,12185302,1.19E-05,-11.3398832,9,6.15E-06,-11.99947001
intimidating,3,1.06E-05,-11.45308699,55,2.62E-06,-12.85393457,827485,8.07E-07,-14.02947797,1,6.83E-07,-14.19669459
into,327,0.001157215,-6.76173911,20093,0.000955629,-6.953140982,431336061,0.000420853,-7.773226161,1627,0.001111326,-6.802201478
introduce,2,7.08E-06,-11.8585521,190,9.04E-06,-11.61424368,11134198,1.09E-05,-11.4300924,1,6.83E-07,-14.19669459
introduced,7,2.48E-05,-10.60578913,199,9.46E-06,-11.56796293,26600673,2.60E-05,-10.55917715,11,7.51E-06,-11.79879931
introduction,10,3.54E-05,-10.24911419,44,2.09E-06,-13.07707812,18189591,1.77E-05,-10.93926416,1,6.83E-07,-14.19669459
introductory,2,7.08E-06,-11.8585521,17,8.09E-07,-14.02805441,3178816,3.10E-06,-12.68360487,1,6.83E-07,-14.19669459
introvertal,2,7.08E-06,-11.8585521,,,,,,,,,
intuition,1,3.54E-06,-12.55169928,24,1.14E-06,-13.68321393,1279519,1.25E-06,-13.59362945,,,
intuitive,1,3.54E-06,-12.55169928,19,9.04E-07,-13.91682878,3555838,3.47E-06,-12.57152291,2,1.37E-06,-13.5035474
invalid,1,3.54E-06,-12.55169928,10,4.76E-07,-14.55868266,5712043,5.57E-06,-12.09753692,2,1.37E-06,-13.5035474
invasive,1,3.54E-06,-12.55169928,18,8.56E-07,-13.970896,2649864,2.59E-06,-12.86560535,1,6.83E-07,-14.19669459
invented,1,3.54E-06,-12.55169928,88,4.19E-06,-12.38393094,3358669,3.28E-06,-12.62856891,2,1.37E-06,-13.5035474
invest,1,3.54E-06,-12.55169928,423,2.01E-05,-10.81389558,7107401,6.93E-06,-11.87897704,12,8.20E-06,-11.71178794
invested,1,3.54E-06,-12.55169928,186,8.85E-06,-11.63552108,4566588,4.46E-06,-12.32134735,6,4.10E-06,-12.40493512
investigation,2,7.08E-06,-11.8585521,53,2.52E-06,-12.89097584,18457122,1.80E-05,-10.92466336,4,2.73E-06,-12.81040022
investigator,1,3.54E-06,-12.55169928,17,8.09E-07,-14.02805441,2614491,2.55E-06,-12.87904424,3,2.05E-06,-13.0980823
investment,3,1.06E-05,-11.45308699,223,1.06E-05,-11.45409599,42607219,4.16E-05,-10.08808997,30,2.05E-05,-10.7954972
investments,3,1.06E-05,-11.45308699,93,4.42E-06,-12.32866826,11710868,1.14E-05,-11.37959637,10,6.83E-06,-11.89410949
invincible,2,7.08E-06,-11.8585521,36,1.71E-06,-13.27774882,368092,3.59E-07,-14.83953604,1,6.83E-07,-14.19669459
invisible,1,3.54E-06,-12.55169928,27,1.28E-06,-13.56543089,4229451,4.13E-06,-12.39804147,7,4.78E-06,-12.25078444
invited,1,3.54E-06,-12.55169928,126,5.99E-06,-12.02498585,13027250,1.27E-05,-11.27307035,6,4.10E-06,-12.40493512
inviting,1,3.54E-06,-12.55169928,26,1.24E-06,-13.60317122,2571806,2.51E-06,-12.8955053,1,6.83E-07,-14.19669459
involve,3,1.06E-05,-11.45308699,154,7.32E-06,-11.82431515,11554250,1.13E-05,-11.39306034,9,6.15E-06,-11.99947001
involved,45,0.00015925,-8.745036791,3394,0.00016142,-8.731503311,55367522,5.40E-05,-9.826120495,295,0.0002015,-8.509719229
involvement,3,1.06E-05,-11.45308699,170,8.09E-06,-11.72546932,12486528,1.22E-05,-11.31546337,23,1.57E-05,-11.06120037
involves,2,7.08E-06,-11.8585521,139,6.61E-06,-11.92679382,12688750,1.24E-05,-11.2993979,11,7.51E-06,-11.79879931
iowa,6,2.12E-05,-10.75993981,484,2.30E-05,-10.67918285,750835,7.33E-07,-14.12668303,35,2.39E-05,-10.64134652
ireland,4,1.42E-05,-11.16540492,119,5.66E-06,-12.08214426,2056713,2.01E-06,-13.11900459,11,7.51E-06,-11.79879931
irish,2,7.08E-06,-11.8585521,224,1.07E-05,-11.44962171,1392922,1.36E-06,-13.50870997,4,2.73E-06,-12.81040022
iron,1,3.54E-06,-12.55169928,115,5.47E-06,-12.11633563,14489335,1.41E-05,-11.16670081,37,2.53E-05,-10.58577667
ironically,1,3.54E-06,-12.55169928,55,2.62E-06,-12.85393457,676331,6.60E-07,-14.23118635,1,6.83E-07,-14.19669459
irrelevant,2,7.08E-06,-11.8585521,36,1.71E-06,-13.27774882,3053943,2.98E-06,-12.72368013,1,6.83E-07,-14.19669459
irresponsible,1,3.54E-06,-12.55169928,38,1.81E-06,-13.2236816,1013228,9.89E-07,-13.8269724,4,2.73E-06,-12.81040022
irreversible,1,3.54E-06,-12.55169928,5,2.38E-07,-15.25182984,808922,7.89E-07,-14.05216645,,,
irrigation,1,3.54E-06,-12.55169928,5,2.38E-07,-15.25182984,3698947,3.61E-06,-12.53206549,4,2.73E-06,-12.81040022
irritates,2,7.08E-06,-11.8585521,51,2.43E-06,-12.92944212,163831,1.60E-07,-15.64903354,3,2.05E-06,-13.0980823
irritating,1,3.54E-06,-12.55169928,55,2.62E-06,-12.85393457,1068835,1.04E-06,-13.7735444,7,4.78E-06,-12.25078444
is,1863,0.00659294,-5.02175591,170201,0.008094808,-4.816532386,4551580934,0.004440964,-5.416883762,11895,0.008124906,-4.812821163
ish,1,3.54E-06,-12.55169928,11,5.23E-07,-14.46337248,1552069,1.51E-06,-13.40052479,,,
islam,1,3.54E-06,-12.55169928,82,3.90E-06,-12.45454851,690303,6.74E-07,-14.21073832,,,
island,10,3.54E-05,-10.24911419,1430,6.80E-05,-9.595838034,17788811,1.74E-05,-10.96154401,30,2.05E-05,-10.7954972
islands,2,7.08E-06,-11.8585521,111,5.28E-06,-12.15173756,6509914,6.35E-06,-11.96678743,12,8.20E-06,-11.71178794
isn't,72,0.0002548,-8.275033162,6231,0.000296348,-8.123975644,46085,4.50E-08,-16.91738143,561,0.000383192,-7.86697368
isolate,1,3.54E-06,-12.55169928,40,1.90E-06,-13.1723883,1782525,1.74E-06,-13.26208277,5,3.42E-06,-12.58725667
isolated,2,7.08E-06,-11.8585521,165,7.85E-06,-11.75532228,8068017,7.87E-06,-11.75220594,9,6.15E-06,-11.99947001
israel,2,7.08E-06,-11.8585521,1037,4.93E-05,-9.917180549,939270,9.16E-07,-13.90276597,56,3.83E-05,-10.17134289
issue,37,0.000130939,-8.940781368,2266,0.000107772,-9.135496315,86172132,8.41E-05,-9.38376684,145,9.90E-05,-9.219960843
issues,27,9.55E-05,-9.255862415,1289,6.13E-05,-9.699645754,106496847,0.000103909,-9.171998292,80,5.46E-05,-9.814667951
it,4542,0.016073609,-4.130576558,346504,0.016479829,-4.105618115,2054025481,0.002004107,-6.212556875,26891,0.018367956,-3.997147648
it'd,37,0.000130939,-8.940781368,1761,8.38E-05,-9.387630648,2467,2.41E-09,-19.84486611,106,7.24E-05,-9.533255491
it'll,27,9.55E-05,-9.255862415,2389,0.000113622,-9.08263761,12875,1.26E-08,-18.1925815,173,0.000118168,-9.043402991
it's,2822,0.009986729,-4.606498149,223753,0.010641757,-4.542969713,56713,5.53E-08,-16.70986549,13202,0.009017655,-4.708570973
italian,1,3.54E-06,-12.55169928,707,3.36E-05,-10.30023709,3338275,3.26E-06,-12.63465946,45,3.07E-05,-10.3900321
italy,9,3.18E-05,-10.3544747,273,1.30E-05,-11.25179596,2770957,2.70E-06,-12.82092092,13,8.88E-06,-11.63174523
itching,1,3.54E-06,-12.55169928,23,1.09E-06,-13.72577354,1036659,1.01E-06,-13.80411063,1,6.83E-07,-14.19669459
item,1,3.54E-06,-12.55169928,133,6.33E-06,-11.97091863,187315695,0.000182763,-8.607318269,24,1.64E-05,-11.01864076
its,19,6.72E-05,-9.607260302,1557,7.41E-05,-9.510751585,490439693,0.000478521,-7.64481135,138,9.43E-05,-9.2694409
itself,13,4.60E-05,-9.986749924,1281,6.09E-05,-9.705871455,50405768,4.92E-05,-9.920008058,111,7.58E-05,-9.487164384
iuka,1,3.54E-06,-12.55169928,,,,3256,3.18E-09,-19.5673695,,,
ivy,4,1.42E-05,-11.16540492,58,2.76E-06,-12.80082475,710733,6.93E-07,-14.18157212,4,2.73E-06,-12.81040022
ixnay,1,3.54E-06,-12.55169928,,,,5090,4.97E-09,-19.12059112,,,
izod,1,3.54E-06,-12.55169928,,,,19340,1.89E-08,-17.78569346,,,
j,4,1.42E-05,-11.16540492,10,4.76E-07,-14.55868266,58963410,5.75E-05,-9.763196589,11,7.51E-06,-11.79879931
jab,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,465071,4.54E-07,-14.60567887,,,
jack,1,3.54E-06,-12.55169928,326,1.55E-05,-11.07437038,11931966,1.16E-05,-11.36089265,20,1.37E-05,-11.20096231
jacket,3,1.06E-05,-11.45308699,104,4.95E-06,-12.21687686,6656988,6.50E-06,-11.94444654,11,7.51E-06,-11.79879931
jackets,1,3.54E-06,-12.55169928,46,2.19E-06,-13.03262636,2369231,2.31E-06,-12.97754824,8,5.46E-06,-12.11725304
jackson,5,1.77E-05,-10.94226137,109,5.18E-06,-12.16991987,3825569,3.73E-06,-12.49840646,4,2.73E-06,-12.81040022
jacob,1,3.54E-06,-12.55169928,38,1.81E-06,-13.2236816,237337,2.32E-07,-15.27838788,,,
jacob's,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,208,2.03E-10,-22.31808615,,,
jacobs,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,161808,1.58E-07,-15.6614585,5,3.42E-06,-12.58725667
jacuzzi,1,3.54E-06,-12.55169928,12,5.71E-07,-14.37636111,661797,6.46E-07,-14.25291009,2,1.37E-06,-13.5035474
jail,17,6.02E-05,-9.718485937,624,2.97E-05,-10.42511739,5641319,5.50E-06,-12.10999577,87,5.94E-05,-9.730786467
jails,1,3.54E-06,-12.55169928,26,1.24E-06,-13.60317122,570220,5.56E-07,-14.4018467,16,1.09E-05,-11.42410586
jalena,4,1.42E-05,-11.16540492,,,,217,2.12E-10,-22.27572688,,,
jam,2,7.08E-06,-11.8585521,60,2.85E-06,-12.76692319,4878186,4.76E-06,-12.25534024,6,4.10E-06,-12.40493512
jamaica,4,1.42E-05,-11.16540492,98,4.66E-06,-12.27630028,348374,3.40E-07,-14.89459233,8,5.46E-06,-12.11725304
james,1,3.54E-06,-12.55169928,280,1.33E-05,-11.22647815,3107393,3.03E-06,-12.70632956,24,1.64E-05,-11.01864076
jamilia,1,3.54E-06,-12.55169928,,,,731,7.13E-10,-21.06121077,,,
jane,4,1.42E-05,-11.16540492,82,3.90E-06,-12.45454851,794430,7.75E-07,-14.07024407,12,8.20E-06,-11.71178794
janelle,2,7.08E-06,-11.8585521,6,2.85E-07,-15.06950829,41155,4.02E-08,-17.03052352,,,
janet,9,3.18E-05,-10.3544747,47,2.24E-06,-13.01112016,1768068,1.73E-06,-13.27022625,,,
janeway,1,3.54E-06,-12.55169928,,,,14461,1.41E-08,-18.07641358,,,
janie,2,7.08E-06,-11.8585521,,,,27031,2.64E-08,-17.45088459,,,
janitor,2,7.08E-06,-11.8585521,19,9.04E-07,-13.91682878,275778,2.69E-07,-15.12827276,1,6.83E-07,-14.19669459
janitrol,1,3.54E-06,-12.55169928,,,,2754,2.69E-09,-19.73481455,,,
jansen,4,1.42E-05,-11.16540492,,,,59416,5.80E-08,-16.6633054,,,
january,10,3.54E-05,-10.24911419,365,1.74E-05,-10.9613704,1458771,1.42E-06,-13.46251937,33,2.25E-05,-10.70018702
japan,4,1.42E-05,-11.16540492,541,2.57E-05,-10.56784848,4040960,3.94E-06,-12.44363138,29,1.98E-05,-10.82939876
japanese,2,7.08E-06,-11.8585521,435,2.07E-05,-10.78592173,9481082,9.25E-06,-11.59081523,50,3.42E-05,-10.28467158
jared,1,3.54E-06,-12.55169928,25,1.19E-06,-13.64239193,128857,1.26E-07,-15.88916569,,,
jars,2,7.08E-06,-11.8585521,20,9.51E-07,-13.86553548,1440155,1.41E-06,-13.47536292,9,6.15E-06,-11.99947001
jason,7,2.48E-05,-10.60578913,179,8.51E-06,-11.67388195,945057,9.22E-07,-13.89662371,,,
jason's,3,1.06E-05,-11.45308699,2,9.51E-08,-16.16812058,,,,,,
jasper,1,3.54E-06,-12.55169928,2,9.51E-08,-16.16812058,298985,2.92E-07,-15.04747555,,,
java,1,3.54E-06,-12.55169928,16,7.61E-07,-14.08867903,13724347,1.34E-05,-11.22094226,,,
jazz,3,1.06E-05,-11.45308699,175,8.32E-06,-11.69648178,8455559,8.25E-06,-11.70528958,33,2.25E-05,-10.70018702
jeans,1,3.54E-06,-12.55169928,88,4.19E-06,-12.38393094,4806100,4.69E-06,-12.27022773,50,3.42E-05,-10.28467158
jed,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,199101,1.94E-07,-15.45405672,,,
jedd,3,1.06E-05,-11.45308699,,,,8670,8.46E-09,-18.58800016,,,
jedi,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,329777,3.22E-07,-14.94945228,,,
jeep,2,7.08E-06,-11.8585521,19,9.04E-07,-13.91682878,1348876,1.32E-06,-13.54084202,2,1.37E-06,-13.5035474
jefferson,1,3.54E-06,-12.55169928,19,9.04E-07,-13.91682878,280909,2.74E-07,-15.10983818,,,
jeffersons,2,7.08E-06,-11.8585521,5,2.38E-07,-15.25182984,2349,2.29E-09,-19.89387924,,,
jehovah's,1,3.54E-06,-12.55169928,16,7.61E-07,-14.08867903,,,,1,6.83E-07,-14.19669459
jello,5,1.77E-05,-10.94226137,11,5.23E-07,-14.46337248,226504,2.21E-07,-15.32510635,,,
jelly,2,7.08E-06,-11.8585521,36,1.71E-06,-13.27774882,1601929,1.56E-06,-13.36890514,7,4.78E-06,-12.25078444
jennifer,1,3.54E-06,-12.55169928,233,1.11E-05,-11.4102293,4458121,4.35E-06,-12.34538629,2,1.37E-06,-13.5035474
jeopardy,1,3.54E-06,-12.55169928,127,6.04E-06,-12.01708067,876019,8.55E-07,-13.97248117,1,6.83E-07,-14.19669459
jerk,2,7.08E-06,-11.8585521,110,5.23E-06,-12.16078739,2025593,1.98E-06,-13.13425117,3,2.05E-06,-13.0980823
jerry,9,3.18E-05,-10.3544747,320,1.52E-05,-11.09294676,541611,5.28E-07,-14.45332092,15,1.02E-05,-11.48864438
jersey,6,2.12E-05,-10.75993981,1926,9.16E-05,-9.298067165,4496470,4.39E-06,-12.33682103,43,2.94E-05,-10.43549447
jesse,2,7.08E-06,-11.8585521,45,2.14E-06,-13.05460527,459921,4.49E-07,-14.61681421,3,2.05E-06,-13.0980823
jessie,2,7.08E-06,-11.8585521,25,1.19E-06,-13.64239193,118957,1.16E-07,-15.96910687,1,6.83E-07,-14.19669459
jesus,5,1.77E-05,-10.94226137,360,1.71E-05,-10.97516373,1296931,1.27E-06,-13.58011297,14,9.56E-06,-11.55763726
jet,1,3.54E-06,-12.55169928,140,6.66E-06,-11.91962533,6295112,6.14E-06,-12.00034021,6,4.10E-06,-12.40493512
jets,1,3.54E-06,-12.55169928,107,5.09E-06,-12.18843892,1780694,1.74E-06,-13.2631105,2,1.37E-06,-13.5035474
jewel,1,3.54E-06,-12.55169928,8,3.80E-07,-14.78182622,1905746,1.86E-06,-13.19524014,1,6.83E-07,-14.19669459
jewelry,3,1.06E-05,-11.45308699,75,3.57E-06,-12.54377964,14522908,1.42E-05,-11.16438641,10,6.83E-06,-11.89410949
jewish,6,2.12E-05,-10.75993981,555,2.64E-05,-10.54229964,1142853,1.12E-06,-13.7065859,22,1.50E-05,-11.10565213
jibes,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,49492,4.83E-08,-16.84605791,,,
jigsaw,1,3.54E-06,-12.55169928,2,9.51E-08,-16.16812058,1079566,1.05E-06,-13.76355456,,,
joanne,1,3.54E-06,-12.55169928,47,2.24E-06,-13.01112016,90962,8.88E-08,-16.23742711,,,
job,166,0.000587455,-7.439711493,9187,0.000436936,-7.735723037,103759651,0.000101238,-9.198036495,638,0.000435787,-7.738356302
job's,1,3.54E-06,-12.55169928,22,1.05E-06,-13.7702253,,,,2,1.37E-06,-13.5035474
jobless,1,3.54E-06,-12.55169928,10,4.76E-07,-14.55868266,391641,3.82E-07,-14.77752335,,,
jobs,41,0.000145094,-8.838127214,3424,0.000162846,-8.72270302,60016464,5.86E-05,-9.745494747,138,9.43E-05,-9.2694409
jock,2,7.08E-06,-11.8585521,11,5.23E-07,-14.46337248,547491,5.34E-07,-14.44252293,,,
jocks,2,7.08E-06,-11.8585521,1,4.76E-08,-16.86126776,684294,6.68E-07,-14.2194813,,,
joe,5,1.77E-05,-10.94226137,883,4.20E-05,-10.07794256,3198986,3.12E-06,-12.67727979,15,1.02E-05,-11.48864438
joe's,1,3.54E-06,-12.55169928,20,9.51E-07,-13.86553548,,,,2,1.37E-06,-13.5035474
joey,1,3.54E-06,-12.55169928,26,1.24E-06,-13.60317122,334968,3.27E-07,-14.93383395,6,4.10E-06,-12.40493512
jog,1,3.54E-06,-12.55169928,130,6.18E-06,-11.99373331,586901,5.73E-07,-14.3730128,11,7.51E-06,-11.79879931
jogged,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,86364,8.43E-08,-16.28929803,2,1.37E-06,-13.5035474
jogging,1,3.54E-06,-12.55169928,161,7.66E-06,-11.77986339,752893,7.35E-07,-14.12394583,20,1.37E-05,-11.20096231
john,12,4.25E-05,-10.06679263,756,3.60E-05,-10.23322638,6231086,6.08E-06,-12.01056304,38,2.60E-05,-10.55910843
johnnie,1,3.54E-06,-12.55169928,5,2.38E-07,-15.25182984,34106,3.33E-08,-17.21839563,,,
johnnie's,1,3.54E-06,-12.55169928,,,,,,,,,
johnny,3,1.06E-05,-11.45308699,146,6.94E-06,-11.87766114,1459460,1.42E-06,-13.46204717,10,6.83E-06,-11.89410949
johnstown,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,24017,2.34E-08,-17.56910704,1,6.83E-07,-14.19669459
join,2,7.08E-06,-11.8585521,386,1.84E-05,-10.90543039,43857268,4.28E-05,-10.05917322,28,1.91E-05,-10.86449008
joined,7,2.48E-05,-10.60578913,273,1.30E-05,-11.25179596,18547824,1.81E-05,-10.91976119,19,1.30E-05,-11.25225561
joint,5,1.77E-05,-10.94226137,82,3.90E-06,-12.45454851,22063267,2.15E-05,-10.74619957,7,4.78E-06,-12.25078444
joke,8,2.83E-05,-10.47225774,1592,7.57E-05,-9.48852139,6232572,6.08E-06,-12.01032458,22,1.50E-05,-11.10565213
jokes,4,1.42E-05,-11.16540492,1747,8.31E-05,-9.395612447,5985758,5.84E-06,-12.05073069,5,3.42E-06,-12.58725667
joking,1,3.54E-06,-12.55169928,193,9.18E-06,-11.59857757,933791,9.11E-07,-13.90861631,1,6.83E-07,-14.19669459
jokingly,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,232957,2.27E-07,-15.29701506,,,
joseph,4,1.42E-05,-11.16540492,50,2.38E-06,-12.94924475,443161,4.32E-07,-14.65393582,1,6.83E-07,-14.19669459
